question_id,poll_id,race_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,partisan,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,seat_number,start_date,end_date,sponsor_candidate,tracking,nationwide_batch,created_at,notes,url,stage,dem,rep,ind
140352,74557,8990,2022,,1302,Echelon Insights,"","",,Echelon Insights,407,Echelon Insights,B/C,1008,rv,rv,Online,U.S. House,,3/15/21,3/21/21,"",,false,3/24/21 13:14,,https://echeloninsights.com/in-the-news/march-omnibus-political/,general,46.0,42.0,
139992,74438,8990,2022,,1575,Léger,1436,The Canadian Press,,Léger,572,Léger,B/C,1002,a,a,Online,U.S. House,,2/26/21,2/28/21,"",,false,3/2/21 10:49,,https://leger360.com/wp-content/uploads/2021/03/Legers-North-American-Tracker-March-1st-2021-min.pdf,general,39.0,31.0,
140041,74444,8990,2022,,294,McLaughlin & Associates,"","",,McLaughlin & Associates,203,McLaughlin & Associates,C/D,1000,lv,lv,Online,U.S. House,,2/24/21,2/28/21,"",,false,3/3/21 15:30,,https://mclaughlinonline.com/pols/wp-content/uploads/2021/03/National-Monthly-For-Release-3-03-21.pdf,general,46.0,46.0,
140127,74469,8990,2022,,927,GQR Research (GQRR),"","",,GQR Research,126,GQR Research (GQRR),B,1000,rv,rv,Live Phone,U.S. House,,2/18/21,2/23/21,"",,false,3/10/21 13:43,weighted to rv demographics,https://democracycorps.com/national-surveys/new-democracy-corps-national-phone-poll-fixed-to-accommodate-trumps-right-wing-populism/,general,48.0,42.0,
140128,74469,8990,2022,,927,GQR Research (GQRR),"","",,GQR Research,126,GQR Research (GQRR),B,1000,rv,rv,Live Phone,U.S. House,,2/18/21,2/23/21,"",,false,3/10/21 13:44,weighted to 2018 electorate,https://democracycorps.com/national-surveys/new-democracy-corps-national-phone-poll-fixed-to-accommodate-trumps-right-wing-populism/,general,48.0,42.0,
140129,74469,8990,2022,,927,GQR Research (GQRR),"","",,GQR Research,126,GQR Research (GQRR),B,1000,rv,rv,Live Phone,U.S. House,,2/18/21,2/23/21,"",,false,3/10/21 13:44,weighted to 2020 electorate,https://democracycorps.com/national-surveys/new-democracy-corps-national-phone-poll-fixed-to-accommodate-trumps-right-wing-populism/,general,47.0,43.0,
140351,74400,8990,2022,,1302,Echelon Insights,"","",,Echelon Insights,407,Echelon Insights,B/C,1005,rv,rv,Online,U.S. House,,2/12/21,2/18/21,"",,false,3/24/21 13:14,,https://echeloninsights.com/in-the-news/march-omnibus-political/,general,44.0,44.0,
139356,73755,8990,2022,,294,McLaughlin & Associates,"","",,McLaughlin & Associates,203,McLaughlin & Associates,C/D,1000,lv,lv,,U.S. House,,12/9/20,12/13/20,"",,false,1/20/21 13:37,,https://mclaughlinonline.com/pols/wp-content/uploads/2020/12/National-Monthly-December-For-Release-1.pdf,general,46.0,48.0,
139355,73339,8990,2022,,294,McLaughlin & Associates,49,Newsmax,,McLaughlin & Associates,203,McLaughlin & Associates,C/D,1000,lv,lv,Online,U.S. House,,11/21/20,11/23/20,"",,false,1/20/21 13:37,,https://mclaughlinonline.com/pols/wp-content/uploads/2020/11/Newsmax-National-PPT-11-24-20-.pdf,general,45.0,47.0,
136472,72714,8274,2020,,568,YouGov,352,Economist,,YouGov,391,YouGov,B+,1500,rv,rv,Online,U.S. House,,10/31/20,11/2/20,"",,false,11/2/20 17:36,,https://docs.cdn.yougov.com/jsojry0vph/econTabReport.pdf,general,48.0,39.0,
136473,72714,8274,2020,,568,YouGov,352,Economist,,YouGov,391,YouGov,B+,1363,lv,lv,Online,U.S. House,,10/31/20,11/2/20,"",,false,11/2/20 17:36,,https://docs.cdn.yougov.com/jsojry0vph/econTabReport.pdf,general,52.0,42.0,
137478,73340,8274,2020,,1416,Harris Insights & Analytics,960,Hill.TV,,HarrisX,133,Harris Insights & Analytics,B+,2813,rv,rv,Online,U.S. House,,10/31/20,11/2/20,"",,false,11/28/20 21:12,,https://blog.harrisx.com/blog/final-2020-presidential-election-polling,general,45.0,41.0,
137479,73340,8274,2020,,1416,Harris Insights & Analytics,960,Hill.TV,,HarrisX,133,Harris Insights & Analytics,B+,2297,lv,lv,Online,U.S. House,,10/31/20,11/2/20,"",,false,11/28/20 21:13,,https://blog.harrisx.com/blog/final-2020-presidential-election-polling,general,48.0,43.0,
136615,72808,8274,2020,,1610,USC Dornsife/Los Angeles Times,"","",,USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,5413,lv,lv,Online,U.S. House,,10/20/20,11/2/20,"",TRUE,false,11/4/20 10:28,probabilistic voting question,https://election.usc.edu/,general,52.59,44.59,
136356,72648,8274,2020,,1582,John Zogby Strategies/EMI Research Solutions,"","",,John Zogby Strategies/EMI Research Solutions,583,John Zogby Strategies/EMI Research Solutions,B/C,1008,lv,lv,Online,U.S. House,,11/1/20,11/1/20,"",,false,11/2/20 15:42,,https://johnzogbystrategies.com/wp-content/uploads/2020/11/X1-Weighted-110120.pdf,general,46.6,44.3,
136315,72619,8274,2020,,568,YouGov,1213,Yahoo News,,YouGov,391,YouGov,B+,1360,lv,lv,Online,U.S. House,,10/30/20,11/1/20,"",,false,11/2/20 11:57,,https://docs.cdn.yougov.com/9uv1pif4fj/20201101_yahoo_coronavirus_tabs.pdf,general,52.0,43.0,
136316,72619,8274,2020,,568,YouGov,1213,Yahoo News,,YouGov,391,YouGov,B+,1501,rv,rv,Online,U.S. House,,10/30/20,11/1/20,"",,false,11/2/20 11:57,,https://docs.cdn.yougov.com/9uv1pif4fj/20201101_yahoo_coronavirus_tabs.pdf,general,49.0,40.0,
136282,72601,8274,2020,,1610,USC Dornsife/Los Angeles Times,"","",,USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,5372,lv,lv,Online,U.S. House,,10/19/20,11/1/20,"",TRUE,false,11/2/20 08:25,probabilistic voting question,https://election.usc.edu/,general,52.34,44.77,
136033,72486,8274,2020,,335,NBC News/The Wall Street Journal,"","",,NBC News/The Wall Street Journal,221,NBC News/The Wall Street Journal,B+,1000,rv,rv,Live Phone,U.S. House,,10/29/20,10/31/20,"",,false,11/1/20 09:14,,https://www.documentcloud.org/documents/7280263-200986-NBCWSJ-Late-October-Poll.html,general,48.0,43.0,
136242,72598,8274,2020,,1189,Morning Consult,"","",,Morning Consult,218,Morning Consult,B,14663,lv,lv,Online,U.S. House,,10/29/20,10/31/20,"",TRUE,false,11/2/20 07:14,,https://morningconsult.com/form/2020-u-s-election-tracker/,general,50.0,43.0,
136027,72485,8274,2020,,1610,USC Dornsife/Los Angeles Times,"","",,USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,5354,lv,lv,Online,U.S. House,,10/18/20,10/31/20,"",TRUE,false,11/1/20 07:34,probabilistic voting question,https://election.usc.edu/,general,52.45,44.51,
136241,72597,8274,2020,,1189,Morning Consult,"","",,Morning Consult,218,Morning Consult,B,12000,lv,lv,Online,U.S. House,,10/28/20,10/30/20,"",TRUE,false,11/2/20 07:13,,https://morningconsult.com/form/2020-u-s-election-tracker/,general,50.0,43.0,
135840,72398,8274,2020,,1610,USC Dornsife/Los Angeles Times,"","",,USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,5333,lv,lv,Online,U.S. House,,10/17/20,10/30/20,"",TRUE,false,10/31/20 08:22,probabilistic voting question,https://election.usc.edu/,general,52.28,44.57,
136240,72596,8274,2020,,1189,Morning Consult,"","",,Morning Consult,218,Morning Consult,B,12000,lv,lv,Online,U.S. House,,10/27/20,10/29/20,"",TRUE,false,11/2/20 07:13,,https://morningconsult.com/form/2020-u-s-election-tracker/,general,50.0,43.0,
135672,72314,8274,2020,,1559,Opinium,614,The Guardian,,Opinium,559,Opinium,B/C,1451,rv,rv,Online,U.S. House,,10/26/20,10/29/20,"",,false,10/30/20 08:32,,https://www.opinium.com/resource-center/us-presidential-polling-biden-leads-by-14-points-in-final-poll/,general,50.0,42.0,
135662,72312,8274,2020,,1610,USC Dornsife/Los Angeles Times,"","",,USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,5322,lv,lv,Online,U.S. House,,10/16/20,10/29/20,"",TRUE,false,10/30/20 07:59,probabilistic voting question,https://election.usc.edu/,general,52.24,44.55,
135459,72211,8274,2020,,1189,Morning Consult,"","",,Morning Consult,218,Morning Consult,B,16374,lv,lv,Online,U.S. House,,10/26/20,10/28/20,"",TRUE,false,10/29/20 12:52,,https://morningconsult.com/2020-presidential-election-tracker/,general,49.0,43.0,
136339,72227,8274,2020,,1416,Harris Insights & Analytics,960,Hill.TV,,HarrisX,133,Harris Insights & Analytics,B+,2824,rv,rv,Online,U.S. House,,10/25/20,10/28/20,"",,false,11/2/20 14:19,,https://thehill.com/hilltv/what-americas-thinking/524036-poll-democrats-lead-republicans-in-the-generic-congressional,general,45.0,40.0,
136340,72227,8274,2020,,1416,Harris Insights & Analytics,960,Hill.TV,,HarrisX,133,Harris Insights & Analytics,B+,2359,lv,lv,Online,U.S. House,,10/25/20,10/28/20,"",,false,11/2/20 14:19,,https://thehill.com/hilltv/what-americas-thinking/524036-poll-democrats-lead-republicans-in-the-generic-congressional,general,47.0,42.0,
135410,72190,8274,2020,,1610,USC Dornsife/Los Angeles Times,"","",,USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,5271,lv,lv,Online,U.S. House,,10/15/20,10/28/20,"",TRUE,false,10/29/20 08:37,probabilistic voting question,https://election.usc.edu/,general,52.37,44.43,
135150,72083,8274,2020,,568,YouGov,352,Economist,,YouGov,391,YouGov,B+,1500,rv,rv,Online,U.S. House,,10/25/20,10/27/20,"",,false,10/28/20 09:12,,https://docs.cdn.yougov.com/nzc8dt85gn/econTabReport.pdf,general,49.0,39.0,
135151,72083,8274,2020,,568,YouGov,352,Economist,,YouGov,391,YouGov,B+,1365,lv,lv,Online,U.S. House,,10/25/20,10/27/20,"",,false,10/28/20 09:13,,https://docs.cdn.yougov.com/nzc8dt85gn/econTabReport.pdf,general,52.0,42.0,
135458,72210,8274,2020,,1189,Morning Consult,"","",,Morning Consult,218,Morning Consult,B,12000,lv,lv,Online,U.S. House,,10/25/20,10/27/20,"",TRUE,false,10/29/20 12:52,,https://morningconsult.com/2020-presidential-election-tracker/,general,50.0,43.0,
135379,72176,8274,2020,,458,Suffolk University,135,USA Today,,Suffolk University,323,Suffolk University,B+,1000,lv,lv,Live Phone,U.S. House,,10/23/20,10/27/20,"",,false,10/29/20 07:27,,https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/national/2020/10_29_2020_marginals_pdftxt.pdf?la=en&hash=7BE590FE9C03C3188A29E97C1108D5CB75C70362,general,49.4,39.3,
135409,72079,8274,2020,,1610,USC Dornsife/Los Angeles Times,"","",,USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,5261,lv,lv,Online,U.S. House,,10/14/20,10/27/20,"",TRUE,false,10/29/20 08:37,probabilistic voting question,https://election.usc.edu/,general,52.39,44.35,
135457,72209,8274,2020,,1189,Morning Consult,"","",,Morning Consult,218,Morning Consult,B,12000,lv,lv,Online,U.S. House,,10/24/20,10/26/20,"",TRUE,false,10/29/20 12:52,,https://morningconsult.com/2020-presidential-election-tracker/,general,50.0,42.0,
135329,72160,8274,2020,,1361,SSRS,143,CNN,,CNN/SSRS,297,SSRS,C,917,rv,rv,Live Phone,U.S. House,,10/23/20,10/26/20,"",,false,10/28/20 16:21,,http://cdn.cnn.com/cnn/2020/images/10/28/rel15.pdf,general,54.0,42.0,
135330,72160,8274,2020,,1361,SSRS,143,CNN,,CNN/SSRS,297,SSRS,C,886,lv,lv,Live Phone,U.S. House,,10/23/20,10/26/20,"",,false,10/28/20 16:22,,http://cdn.cnn.com/cnn/2020/images/10/28/rel15.pdf,general,54.0,42.0,
135468,72213,8274,2020,,552,The Winston Group,1312,Winning the Issues,REP,The Winston Group,385,The Winston Group,A/B,1000,rv,rv,Online,U.S. House,,10/23/20,10/26/20,"",,false,10/29/20 13:01,,https://www.winningtheissues.org/wp-content/uploads/2020/10/Winning-the-Issues-October-2020-National-Survey.pdf,general,47.0,43.0,
135668,72313,8274,2020,,1521,Hofstra University,"","",,Hofstra University,558,Hofstra University,B/C,2000,lv,lv,Online,U.S. House,,10/19/20,10/26/20,"",,false,10/30/20 08:11,,https://www.hofstra.edu/pdf/academics/colleges/hclas/gov-policy-international/kalikow-poll-1020.pdf,general,54.5,45.5,
136243,72600,8274,2020,,568,YouGov,508,George Washington University,,YouGov,391,YouGov,B+,2500,lv,lv,Online,U.S. House,,10/16/20,10/26/20,"",,false,11/2/20 07:14,"",https://smpa.gwu.edu/gw-politics-poll-finds-trump-elicits-negative-emotions-voters,general,51.0,40.0,
135041,72035,8274,2020,,1610,USC Dornsife/Los Angeles Times,"","",,USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,5285,lv,lv,Online,U.S. House,,10/13/20,10/26/20,"",TRUE,false,10/27/20 08:10,probabilistic voting question,https://election.usc.edu/,general,51.81,44.92,
