question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,seat_number,seat_name,start_date,end_date,election_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,created_at,notes,url,stage,race_id,answer,candidate_id,candidate_name,candidate_party,pct
132283,70717,2020,Florida,1365,Change Research,"","",Change Research,48,Change Research,C-,527,lv,lv,,U.S. House,16,District 16,10/5/20,10/8/20,11/3/20,Margaret Good,true,DEM,,false,false,10/10/20 18:38,,https://thehill.com/homenews/campaign/520494-democratic-poll-shows-neck-and-neck-race-brewing-in-florida-house-district,general,7931,Good,13650,Margaret Good,DEM,45.0
132283,70717,2020,Florida,1365,Change Research,"","",Change Research,48,Change Research,C-,527,lv,lv,,U.S. House,16,District 16,10/5/20,10/8/20,11/3/20,Margaret Good,true,DEM,,false,false,10/10/20 18:38,,https://thehill.com/homenews/campaign/520494-democratic-poll-shows-neck-and-neck-race-brewing-in-florida-house-district,general,7931,Buchanan,13649,Vern Buchanan,REP,48.0
132157,70667,2020,California,1628,Breakthrough Campaigns,"","",Breakthrough Campaigns,623,Breakthrough Campaigns,,644,lv,lv,Live Phone/Text,U.S. House,25,District 25,10/3/20,10/6/20,11/3/20,Christy Smith,true,DEM,,false,false,10/8/20 09:10,"",https://perma.cc/6CAV-FUEB,general,7874,Smith,13791,Christy Smith,DEM,49.0
132157,70667,2020,California,1628,Breakthrough Campaigns,"","",Breakthrough Campaigns,623,Breakthrough Campaigns,,644,lv,lv,Live Phone/Text,U.S. House,25,District 25,10/3/20,10/6/20,11/3/20,Christy Smith,true,DEM,,false,false,10/8/20 09:10,"",https://perma.cc/6CAV-FUEB,general,7874,Garcia,13793,Mike Garcia,REP,47.0
132245,70698,2020,Illinois,495,Tulchin Research,451,DCCC,Tulchin Research,340,Tulchin Research,B/C,400,lv,lv,,U.S. House,13,District 13,10/1/20,10/6/20,11/3/20,"",true,DEM,,false,false,10/9/20 08:54,"",https://dccc.org/new-poll-dirksen-londrigan-takes-the-lead-in-il-13-48-43/,general,7973,Londrigan,15008,Betsy Dirksen Londrigan,DEM,48.0
132245,70698,2020,Illinois,495,Tulchin Research,451,DCCC,Tulchin Research,340,Tulchin Research,B/C,400,lv,lv,,U.S. House,13,District 13,10/1/20,10/6/20,11/3/20,"",true,DEM,,false,false,10/9/20 08:54,"",https://dccc.org/new-poll-dirksen-londrigan-takes-the-lead-in-il-13-48-43/,general,7973,Davis,15009,Rodney Davis,REP,43.0
132133,70661,2020,Texas,379,Public Opinion Strategies,"","",Public Opinion Strategies,260,Public Opinion Strategies,B+,400,lv,lv,,U.S. House,23,District 23,10/3/20,10/5/20,11/3/20,Tony Gonzales,true,REP,,false,false,10/7/20 19:16,,https://www.washingtonexaminer.com/news/ortiz-jones-just-one-point-ahead-of-gonzales-in-texas-house-race-despite-cash-advantage-poll,general,8218,Ortiz Jones,14607,Gina Ortiz Jones,DEM,42.0
132133,70661,2020,Texas,379,Public Opinion Strategies,"","",Public Opinion Strategies,260,Public Opinion Strategies,B+,400,lv,lv,,U.S. House,23,District 23,10/3/20,10/5/20,11/3/20,Tony Gonzales,true,REP,,false,false,10/7/20 19:16,,https://www.washingtonexaminer.com/news/ortiz-jones-just-one-point-ahead-of-gonzales-in-texas-house-race-despite-cash-advantage-poll,general,8218,Gonzales,14608,Tony Gonzales,REP,41.0
132155,70590,2020,Florida,509,University of North Florida,"","",University of North Florida,360,University of North Florida,A/B,863,lv,lv,Online,U.S. House,4,District 4,10/1/20,10/4/20,11/3/20,"",false,,,false,false,10/8/20 08:28,,https://www.unf.edu/uploadedFiles/aa/coas/porl/2020JaxSpeaksOct.pdf,general,7919,Deegan,14953,Donna Deegan,DEM,38.0
132155,70590,2020,Florida,509,University of North Florida,"","",University of North Florida,360,University of North Florida,A/B,863,lv,lv,Online,U.S. House,4,District 4,10/1/20,10/4/20,11/3/20,"",false,,,false,false,10/8/20 08:28,,https://www.unf.edu/uploadedFiles/aa/coas/porl/2020JaxSpeaksOct.pdf,general,7919,Rutherford,15971,John Rutherford,REP,57.0
132073,70634,2020,Pennsylvania,178,Global Strategy Group,"","",Global Strategy Group,118,Global Strategy Group,B/C,400,lv,lv,Live Phone,U.S. House,1,District 1,10/1/20,10/4/20,11/3/20,Christina Finello,true,DEM,,false,false,10/7/20 08:49,,https://twitter.com/kirk_bado/status/1313822837396905984,general,8159,Finello,14614,Christina Finello,DEM,45.0
132073,70634,2020,Pennsylvania,178,Global Strategy Group,"","",Global Strategy Group,118,Global Strategy Group,B/C,400,lv,lv,Live Phone,U.S. House,1,District 1,10/1/20,10/4/20,11/3/20,Christina Finello,true,DEM,,false,false,10/7/20 08:49,,https://twitter.com/kirk_bado/status/1313822837396905984,general,8159,Fitzpatrick,13608,Brian K. Fitzpatrick,REP,47.0
132212,70687,2020,New Hampshire,446,Saint Anselm College,"","",Saint Anselm College,494,Saint Anselm College,,595,lv,lv,Online,U.S. House,1,District 1,10/1/20,10/4/20,11/3/20,"",false,,,false,false,10/8/20 17:31,,https://www.anselm.edu/sites/default/files/Documents/NHIOP/Polls/October%202020%20FullResults.pdf,general,8075,Pappas,15194,Chris Pappas,DEM,49.0
132212,70687,2020,New Hampshire,446,Saint Anselm College,"","",Saint Anselm College,494,Saint Anselm College,,595,lv,lv,Online,U.S. House,1,District 1,10/1/20,10/4/20,11/3/20,"",false,,,false,false,10/8/20 17:31,,https://www.anselm.edu/sites/default/files/Documents/NHIOP/Polls/October%202020%20FullResults.pdf,general,8075,Mowers,16030,Matt Mowers,REP,41.0
132212,70687,2020,New Hampshire,446,Saint Anselm College,"","",Saint Anselm College,494,Saint Anselm College,,595,lv,lv,Online,U.S. House,1,District 1,10/1/20,10/4/20,11/3/20,"",false,,,false,false,10/8/20 17:31,,https://www.anselm.edu/sites/default/files/Documents/NHIOP/Polls/October%202020%20FullResults.pdf,general,8075,Dumont,15185,Zachary Dumont,LIB,2.0
132213,70687,2020,New Hampshire,446,Saint Anselm College,"","",Saint Anselm College,494,Saint Anselm College,,552,lv,lv,Online,U.S. House,2,District 2,10/1/20,10/4/20,11/3/20,"",false,,,false,false,10/8/20 17:31,,https://www.anselm.edu/sites/default/files/Documents/NHIOP/Polls/October%202020%20FullResults.pdf,general,8076,Kuster,16032,Annie Kuster,DEM,52.0
132213,70687,2020,New Hampshire,446,Saint Anselm College,"","",Saint Anselm College,494,Saint Anselm College,,552,lv,lv,Online,U.S. House,2,District 2,10/1/20,10/4/20,11/3/20,"",false,,,false,false,10/8/20 17:31,,https://www.anselm.edu/sites/default/files/Documents/NHIOP/Polls/October%202020%20FullResults.pdf,general,8076,Negron,16033,Steven Negron,REP,38.0
132213,70687,2020,New Hampshire,446,Saint Anselm College,"","",Saint Anselm College,494,Saint Anselm College,,552,lv,lv,Online,U.S. House,2,District 2,10/1/20,10/4/20,11/3/20,"",false,,,false,false,10/8/20 17:31,,https://www.anselm.edu/sites/default/files/Documents/NHIOP/Polls/October%202020%20FullResults.pdf,general,8076,Olding,16034,AJ Olding,LIB,4.0
132214,70688,2020,Nebraska,1244,FM3 Research,1471,Congressional Progressive Caucus PAC (CPC PAC),FM3 Research,91,FM3 Research,B/C,450,lv,lv,Live Phone,U.S. House,2,District 2,10/1/20,10/4/20,11/3/20,"",false,DEM,,false,false,10/8/20 17:31,,https://thehill.com/homenews/campaign/520263-poll-shows-biden-leading-trump-tight-house-race-in-key-nebraska-district,general,8069,Eastman,13509,Kara Eastman,DEM,47.0
132214,70688,2020,Nebraska,1244,FM3 Research,1471,Congressional Progressive Caucus PAC (CPC PAC),FM3 Research,91,FM3 Research,B/C,450,lv,lv,Live Phone,U.S. House,2,District 2,10/1/20,10/4/20,11/3/20,"",false,DEM,,false,false,10/8/20 17:31,,https://thehill.com/homenews/campaign/520263-poll-shows-biden-leading-trump-tight-house-race-in-key-nebraska-district,general,8069,Bacon,13510,Don Bacon,REP,45.0
132214,70688,2020,Nebraska,1244,FM3 Research,1471,Congressional Progressive Caucus PAC (CPC PAC),FM3 Research,91,FM3 Research,B/C,450,lv,lv,Live Phone,U.S. House,2,District 2,10/1/20,10/4/20,11/3/20,"",false,DEM,,false,false,10/8/20 17:31,,https://thehill.com/homenews/campaign/520263-poll-shows-biden-leading-trump-tight-house-race-in-key-nebraska-district,general,8069,Schaeffer,15190,Tyler Schaeffer,LIB,6.0
132269,70713,2020,California,940,Lake Research Partners,"","",Lake Research Partners,165,Lake Research Partners,B/C,400,lv,lv,Live Phone,U.S. House,1,District 1,10/1/20,10/4/20,11/3/20,Audrey Denney,true,DEM,,false,false,10/9/20 19:16,,https://audreyforcongress.com/wp-content/uploads/2020/10/PACmemo.Denney.f.2020.10.07.pdf,general,7850,Denney,14659,Audrey Denney,DEM,45.0
