question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,seat_number,seat_name,start_date,end_date,election_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,created_at,notes,url,stage,race_id,answer,candidate_id,candidate_name,candidate_party,pct
132278,70715,2020,Georgia,383,Public Policy Polling,"","",Public Policy Polling,263,Public Policy Polling,B,528,v,v,IVR/Text,U.S. Senate,0,Class II,10/8/20,10/9/20,11/3/20,"",false,,,false,false,10/10/20 08:49,,https://www.publicpolicypolling.com/polls/georgia-senate-races-look-runoff-bound/,general,6271,Ossoff,14567,Jon Ossoff,DEM,44.0
132278,70715,2020,Georgia,383,Public Policy Polling,"","",Public Policy Polling,263,Public Policy Polling,B,528,v,v,IVR/Text,U.S. Senate,0,Class II,10/8/20,10/9/20,11/3/20,"",false,,,false,false,10/10/20 08:49,,https://www.publicpolicypolling.com/polls/georgia-senate-races-look-runoff-bound/,general,6271,Perdue,14568,David A. Perdue,REP,43.0
132278,70715,2020,Georgia,383,Public Policy Polling,"","",Public Policy Polling,263,Public Policy Polling,B,528,v,v,IVR/Text,U.S. Senate,0,Class II,10/8/20,10/9/20,11/3/20,"",false,,,false,false,10/10/20 08:49,,https://www.publicpolicypolling.com/polls/georgia-senate-races-look-runoff-bound/,general,6271,Hazel,14572,Shane Hazel,LIB,4.0
132279,70715,2020,Georgia,383,Public Policy Polling,"","",Public Policy Polling,263,Public Policy Polling,B,528,v,v,IVR/Text,U.S. Senate,2,Class III,10/8/20,10/9/20,11/3/20,"",false,,,false,false,10/10/20 08:49,,https://www.publicpolicypolling.com/polls/georgia-senate-races-look-runoff-bound/,jungle primary,7780,Warnock,14489,Raphael Warnock,DEM,41.0
132279,70715,2020,Georgia,383,Public Policy Polling,"","",Public Policy Polling,263,Public Policy Polling,B,528,v,v,IVR/Text,U.S. Senate,2,Class III,10/8/20,10/9/20,11/3/20,"",false,,,false,false,10/10/20 08:49,,https://www.publicpolicypolling.com/polls/georgia-senate-races-look-runoff-bound/,jungle primary,7780,Loeffler,13671,Kelly Loeffler,REP,24.0
132279,70715,2020,Georgia,383,Public Policy Polling,"","",Public Policy Polling,263,Public Policy Polling,B,528,v,v,IVR/Text,U.S. Senate,2,Class III,10/8/20,10/9/20,11/3/20,"",false,,,false,false,10/10/20 08:49,,https://www.publicpolicypolling.com/polls/georgia-senate-races-look-runoff-bound/,jungle primary,7780,Collins,13669,Doug Collins,REP,22.0
132279,70715,2020,Georgia,383,Public Policy Polling,"","",Public Policy Polling,263,Public Policy Polling,B,528,v,v,IVR/Text,U.S. Senate,2,Class III,10/8/20,10/9/20,11/3/20,"",false,,,false,false,10/10/20 08:49,,https://www.publicpolicypolling.com/polls/georgia-senate-races-look-runoff-bound/,jungle primary,7780,Lieberman,13670,Matthew Lieberman,DEM,3.0
132279,70715,2020,Georgia,383,Public Policy Polling,"","",Public Policy Polling,263,Public Policy Polling,B,528,v,v,IVR/Text,U.S. Senate,2,Class III,10/8/20,10/9/20,11/3/20,"",false,,,false,false,10/10/20 08:49,,https://www.publicpolicypolling.com/polls/georgia-senate-races-look-runoff-bound/,jungle primary,7780,Tarver,14490,Ed Tarver,DEM,0.0
132314,70727,2020,Arkansas,23,American Research Group,"","",American Research Group,9,American Research Group,B,600,lv,lv,Live Phone,U.S. Senate,0,Class II,10/7/20,10/9/20,11/3/20,Ricky Dale Harrington,true,LIB,,false,false,10/11/20 12:43,,https://237995-729345-1-raikfcquaxqncofqfm.stackpathdns.com/wp-content/uploads/2020/10/Arkansas-Senate-Frequency-Counts.pdf,general,6267,Cotton,15607,Tom Cotton,REP,49.0
132314,70727,2020,Arkansas,23,American Research Group,"","",American Research Group,9,American Research Group,B,600,lv,lv,Live Phone,U.S. Senate,0,Class II,10/7/20,10/9/20,11/3/20,Ricky Dale Harrington,true,LIB,,false,false,10/11/20 12:43,,https://237995-729345-1-raikfcquaxqncofqfm.stackpathdns.com/wp-content/uploads/2020/10/Arkansas-Senate-Frequency-Counts.pdf,general,6267,Harrington,15624,Ricky Dale Harrington,LIB,38.0
132311,70724,2020,Michigan,568,YouGov,133,CBS News,YouGov,391,YouGov,B,1181,lv,lv,Online,U.S. Senate,2,Class II,10/6/20,10/9/20,11/3/20,"",false,,,false,false,10/11/20 10:59,,https://drive.google.com/file/d/1ONr-7DegyuvciqdCL7TigWCIvJ1LbSbD/view,general,6280,Peters,13453,Gary C. Peters,DEM,47.0
132311,70724,2020,Michigan,568,YouGov,133,CBS News,YouGov,391,YouGov,B,1181,lv,lv,Online,U.S. Senate,2,Class II,10/6/20,10/9/20,11/3/20,"",false,,,false,false,10/11/20 10:59,,https://drive.google.com/file/d/1ONr-7DegyuvciqdCL7TigWCIvJ1LbSbD/view,general,6280,James,13454,John James,REP,44.0
132312,70726,2020,Iowa,568,YouGov,133,CBS News,YouGov,391,YouGov,B,1022,lv,lv,Online,U.S. Senate,0,Class II,10/6/20,10/9/20,11/3/20,"",false,,,false,false,10/11/20 10:59,,https://drive.google.com/file/d/1j1ecxNthrVLwbSmV5eSUGdeuEilTgKkd/view,general,6272,Greenfield,13466,Theresa Greenfield,DEM,47.0
132312,70726,2020,Iowa,568,YouGov,133,CBS News,YouGov,391,YouGov,B,1022,lv,lv,Online,U.S. Senate,0,Class II,10/6/20,10/9/20,11/3/20,"",false,,,false,false,10/11/20 10:59,,https://drive.google.com/file/d/1j1ecxNthrVLwbSmV5eSUGdeuEilTgKkd/view,general,6272,Ernst,13467,Joni K. Ernst,REP,43.0
132292,70719,2020,Michigan,1526,Baldwin Wallace University,"","",Baldwin Wallace University (Great Lakes Poll),401,Baldwin Wallace University,C/D,1134,lv,lv,Online,U.S. Senate,2,Class II,9/30/20,10/8/20,11/3/20,"",false,,,false,false,10/11/20 01:07,,https://www.bw.edu/Assets/community-research-institute/10-2020-bw-gl-poll-4-final.pdf,general,6280,Peters,13453,Gary C. Peters,DEM,48.0
132292,70719,2020,Michigan,1526,Baldwin Wallace University,"","",Baldwin Wallace University (Great Lakes Poll),401,Baldwin Wallace University,C/D,1134,lv,lv,Online,U.S. Senate,2,Class II,9/30/20,10/8/20,11/3/20,"",false,,,false,false,10/11/20 01:07,,https://www.bw.edu/Assets/community-research-institute/10-2020-bw-gl-poll-4-final.pdf,general,6280,James,13454,John James,REP,42.1
132267,70712,2020,Georgia,262,Landmark Communications,90,WSB-TV,Landmark Communications,166,Landmark Communications,B,600,lv,lv,Online,U.S. Senate,0,Class II,10/7/20,10/7/20,11/3/20,"",false,,,false,false,10/9/20 18:52,,https://assets.documentcloud.org/documents/7224570/WSB-Landmark-Senate-Poll-10-9-20.pdf,general,6271,Ossoff,14567,Jon Ossoff,DEM,45.5
132267,70712,2020,Georgia,262,Landmark Communications,90,WSB-TV,Landmark Communications,166,Landmark Communications,B,600,lv,lv,Online,U.S. Senate,0,Class II,10/7/20,10/7/20,11/3/20,"",false,,,false,false,10/9/20 18:52,,https://assets.documentcloud.org/documents/7224570/WSB-Landmark-Senate-Poll-10-9-20.pdf,general,6271,Perdue,14568,David A. Perdue,REP,47.0
132267,70712,2020,Georgia,262,Landmark Communications,90,WSB-TV,Landmark Communications,166,Landmark Communications,B,600,lv,lv,Online,U.S. Senate,0,Class II,10/7/20,10/7/20,11/3/20,"",false,,,false,false,10/9/20 18:52,,https://assets.documentcloud.org/documents/7224570/WSB-Landmark-Senate-Poll-10-9-20.pdf,general,6271,Hazel,14572,Shane Hazel,LIB,1.5
132268,70712,2020,Georgia,262,Landmark Communications,90,WSB-TV,Landmark Communications,166,Landmark Communications,B,600,lv,lv,Online,U.S. Senate,2,Class III,10/7/20,10/7/20,11/3/20,"",false,,,false,false,10/9/20 18:59,,https://assets.documentcloud.org/documents/7224570/WSB-Landmark-Senate-Poll-10-9-20.pdf,jungle primary,7780,Warnock,14489,Raphael Warnock,DEM,36.2
